sn,year,infant mortality
1,1964,192.7
2,1965,188.3
3,1966,183.9
4,1967,179.7
5,1968,175.6
6,1969,171.4
7,1970,166.8
8,1971,162.2
9,1972,157.2
10,1973,152.3
11,1974,147.4
12,1975,142.7
13,1976,138.3
14,1977,134.2
15,1978,130.7
16,1979,127.8
17,1980,125.6
18,1981,123.9
19,1982,122.9
20,1983,122.5
21,1984,122.5
22,1985,122.9
23,1986,123.4
24,1987,123.9
25,1988,124.2
26,1989,124.4
27,1990,124.3
28,1991,124
29,1992,123.7
30,1993,123.1
31,1994,122.4
32,1995,121.3
33,1996,119.8
34,1997,117.9
35,1998,115.5
36,1999,112.8
37,2000,110
38,2001,107
39,2002,104
40,2003,101
41,2004,98.1
42,2005,95.2
43,2006,92.5
44,2007,90.1
45,2008,88
46,2009,86.1
47,2010,84.6
48,2011,83.3
49,2012,82.2
50,2013,81.2
51,2014,80.4
52,2015,79.5
53,2016,78.5
54,2017,77.3
55,2018,75.7
56,2019,74.2
